title,author,googlebooks_id1,googlebooks_id2,googlebooks_id3,googlebooks_id4,googlebooks_id5
A Wrinkle in Time,Madeleine L'Engle,k2_JGLZhSDMC,qM7G75qNiTcC,66TRPcVbT6MC,nx86DwAAQBAJ,26O_zA8YzZcC
The Joy Luck Club,Amy Tan,2mgnEzzaJrIC,RW6eTlFGMasC,4kdfNwAACAAJ,-NwG-SV3MKwC,9YPLHwAACAAJ
The Handmaid's Tale,Margaret Atwood,ZrsVZKWJg4UC,DLRiDwAAQBAJ,u9dlKNJh_rAC,ZSlfswEACAAJ,vqdfvgEACAAJ
The Sisterhood of the Traveling Pants,Ann Brashares,81kCimChkO0C,UG2FX7uUQFMC,a807PgAACAAJ,HL0tuS5jSoMC,2CHMoAEACAAJ
Lolita,Vladimir Nabokov,S0lVyYcw8tsC,ny7uAAAAMAAJ,Tu1ys6nrv-EC,AGMiDgAAQBAJ,AmeAtwAACAAJ
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,Iej7lZsRRRkC,K-nmCH-AvaIC,UIgGuQEACAAJ
The Firm,John Grisham,0qI5ngEACAAJ,39VwQgAACAAJ,3cfucLhk8iEC,QiyeAAAACAAJ,3RdFshgxwyYC
Room,Emma Donoghue,3TY2DwAAQBAJ,5ZpyvgEACAAJ,EDoVswEACAAJ,Hxp_A6oaZPYC,vwjnKFwOq8YC
Hamlet,William Shakespeare,webh0KkT9o8C,0ShaAAAAMAAJ,y941X6FmC4sC,2aFBAAAAYAAJ,acA2AAAAQBAJ
Dune,Frank Herbert,ydQiDQAAQBAJ,XlZ8wwEACAAJ,rPufswEACAAJ,S5njq1FhUUgC,B89TAPeZ-PYC
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,yBDBEGBIUmgC,WJLYAQAACAAJ,Dlx748V3ci8C,N9bnDwAAQBAJ
Steve Jobs,Walter Isaacson,6e4cDvhrKhgC,WJE8AwAAQBAJ,F1ge2ciSAGwC,FKEySOcb-ooC,ko-gZBH59pQC
One Flew Over the Cuckoo's Nest,Ken Kesey,4618PwAACAAJ,TR7VWdx5kaQC,CMc1tgEACAAJ,cVbnoQEACAAJ,DyvfoQEACAAJ
The Old Man and the Sea,Ernest Hemingway,K1cIZmFe7KoC,D-vDDAAAQBAJ,rl9kCgAAQBAJ,TZY0AAAAMAAJ,gb2EPQAACAAJ
The Grapes of Wrath,John Steinbeck,TdhaZ6xEaBYC,FBNaAAAAMAAJ,wkF1QgAACAAJ,woSBchUi3ygC,LXRbAAAAMAAJ
The Five People You Meet in Heaven,Mitch Albom,PudNDwAAQBAJ,474i590BF20C,i6CJzQEACAAJ,1OzoswEACAAJ,TfoAPQAACAAJ
Anne of Green Gables,L.M. Montgomery,hsTG5H-vCtoC,iM_F5Yof5SYC,zxMNAQAAMAAJ,_z0MAAAACAAJ,1PExygEACAAJ
City of Glass,Cassandra Clare,WabhBQAAQBAJ,0v5wCgAAQBAJ,Gf5wCgAAQBAJ,9eXIwAEACAAJ,mwgpeq5PSgQC
A Storm of Swords,George R.R. Martin,rIj5x-C7D2cC,t1RrxL_sI70C,is5MDQAAQBAJ,cyffaasy3xsC,huJuBGrqNyUC
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,527BTmam72kC,w57tGOyBEJgC
Outlander,Diana Gabaldon,7iF6BgAAQBAJ,QBIYXJn5XhUC,qtyKCgAAQBAJ,-2TwCwAAQBAJ,IMlH63ZPShAC
The Scarlet Letter,Nathaniel Hawthorne,xRlWqKqn3XQC,SbAHHDIewCsC,Rh_A07L-DFoC,qVnDDAAAQBAJ,M-WlBAAAQBAJ
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,yTXIDAAAQBAJ,-UQiv5LtmeUC,VgukCgAAQBAJ,2sdZygEACAAJ,EqotDwAAQBAJ
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,AZ5J6B1-4BoC,99KberGbMkMC,uJa1swEACAAJ,gn5DZBU65HcC,UvK1Slvkz3MC
The Martian,Andy Weir,BGDhCwAAQBAJ,rV3ODgAAQBAJ,t-o-CwAAQBAJ,DxlIDwAAQBAJ,ircwswEACAAJ
The Pillars of the Earth,Ken Follett,WRlgDYVfP2kC,bwm1zQEACAAJ,FcjEDwAAQBAJ,Ex4hAQAACAAJ,m6v6oAEACAAJ
All the Light We Cannot See,Anthony Doerr,_AZ_AwAAQBAJ,MoqYBwAAQBAJ,rFIfrgEACAAJ
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,1PeLDQAAQBAJ,3htCCAAAQBAJ,bjNcAwAAQBAJ,yYG6oQEACAAJ
Deception Point,Dan Brown,eCWgDwAAQBAJ,QYvVNwAACAAJ,T0FvCAAAQBAJ
The Goldfinch,Donna Tartt,eN4lngEACAAJ,mCtzCQAAQBAJ,S4_PyiyJixQC,ZG6pwnARDFYC
Thirteen Reasons Why,Jay Asher,UBpQ2BkxGg8C,3tFQDQAAQBAJ,sMybjwEACAAJ,ettHDwAAQBAJ
Girl with a Pearl Earring,Tracy Chevalier,urE3DtXhOEcC,pSiZ4H0ry1QC,_SDhPwAACAAJ
If I Stay,Gayle Forman,J27QI1JeSDEC,jez0oQEACAAJ,PGS1oQEACAAJ,WCPWwQEACAAJ,H5rHjwEACAAJ
